Sample ID,Sample Date,Area,SiteName,PlotNumber,Horizon,Rep,N Average,C Average,CN ratio
5-Aug W-M2,5-Aug-21,West,Mesic,2,Organic,,1.915,41.815,25.47494721
5-Aug W-M3-O,5-Aug-21,West,Mesic,3,Organic,,1.845,34.945,22.08581757
2-Aug E-D3A-M,2-Aug-21,East,Dry,3,Mineral,A,0.315,2.02,7.486528637
2-Jul-21 East Hydric 3,2-Jul-21,East,Hydric,3,Organic,,2.255,29.675,15.81315648
5-Jul-21 West Hydric 1,5-Jul-21,West,Hydric,1,Organic,,2.38,37.535,18.39593484
5-Jul-21 West Hydric 2,5-Jul-21,West,Hydric,2,Organic,,2.705,39.73,17.12794077
5-Jul-21 West Hydric 3,5-Jul-21,West,Hydric,3,Organic,,2.7,40.48,17.48404452
2-Aug-21 East Hydric 1A,2-Aug-21,East,Hydric,1,Organic,A,2.115,33.87,18.67493002
2-Aug-21 East Hydric 1B,2-Aug-21,East,Hydric,1,Organic,B,1.99,34.54,20.26251283
2-Aug-21 East Hydric 1C,2-Aug-21,East,Hydric,1,Organic,C,1.975,37.52,22.15154891
2-Aug-21 East Hydric 2,2-Aug-21,East,Hydric,2,Organic,,1.595,23.26,16.98596195
2-Aug-21 East Hydric 3A,2-Aug-21,East,Hydric,3,Organic,A,1.345,18.245,15.83979704
2-Aug-21 East Hydric 3B,2-Aug-21,East,Hydric,3,Organic,B,1.08,16.485,17.83343144
2-Aug-21 East Hydric 3C,2-Aug-21,East,Hydric,3,Organic,C,1.055,14.555,16.08494249
5-Aug-21 West Dry 1,5-Aug-21,West,Dry,1,Organic,,1.445,24.915,20.10355174
5-Aug-21 West Dry 2,5-Aug-21,West,Dry,2,Organic,,1.47,27.035,21.44703359
5-Aug-21 West Dry 3,5-Aug-21,West,Dry,3,Organic,,0.815,12.285,17.55624341
5-Aug-21 West Mesic 1,5-Aug-21,West,Mesic,1,Organic,,1.925,38.36,23.2366301
